Topics
Slack and emails are good/fine tools of communication
maybe do an exercise that involves slack communication to learn how to use it effectively
Invited to many slack channels so hard to keep up
slack is fine butfor zoom maybe create a process to encourage dialogue/conversation in the chat
"post documents, handout any pre-reading to better prepare for the workshops"
