Topics
"Great examples shared by Bruce, more examples and project sharing would help"
"Facilitator was very knowledgable, appreaciate the practice tricks and tips"
"Current facilitators are great, interest in inviting other facilitators to share/lead sections of learning to hear from other voices and experiences in the room "
