Term,Frequency
project,4
community,4
phase,2
renovation,2
facility,2
grant,2
volunteer,2
wide,2
need,2
assessment,2
uvic,2
long,2
fund,2
migration,1
try,1
migrate,1
access,1
sophisticated,1
easy,1
organization,1
