Term,Frequency
great,2
answer,2
question,2
awesome,1
think,1
enjoy,1
sense,1
camaraderie,1
create,1
workshop,1
train,1
nice,1
open,1
facilitator,1
knowledgeable,1
pressure,1
attendee,1
talk,1
particular,1
