Term,Frequency
project,4
workshop,3
time,3
zoom,3
work,2
large,2
sure,2
hard,2
apply,2
idea,2
slide,2
create,2
break,2
room,2
material,2
think,2
graphic,1
don;t,1
reccomendation,1
like,1
